file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\OOPS\Downloads\datastructure_challenge-master\datastructure_challenge-master\src\com\design_pattern\structural\proxy\ProxyPatternDesign.java,com.design_pattern.structural.proxy.ProxyPatternDesign,class,2,2,0,2,2,1,0,3,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,5,0,1,1,1,1,0,0,0,12,1,0
C:\Users\OOPS\Downloads\datastructure_challenge-master\datastructure_challenge-master\src\com\sorting\BucketSorting.java,com.sorting.BucketSorting,class,2,3,1,2,4,1,0,5,1,0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,2,1,8,9,2,9,1,0,0,0,14,1,0
C:\Users\OOPS\Downloads\datastructure_challenge-master\datastructure_challenge-master\src\com\design_pattern\structural\adapter\AdapterDesignPatternDemo.java,com.design_pattern.structural.adapter.AdapterDesignPatternDemo,class,5,6,1,5,3,1,0,7,3,0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,12,0,2,6,2,0,0,0,0,17,1,0
C:\Users\OOPS\Downloads\datastructure_challenge-master\datastructure_challenge-master\src\com\design_pattern\structural\proxy\CommandExecutorProxy.java,com.design_pattern.structural.proxy.CommandExecutorProxy,class,2,3,1,2,6,1,0,3,0,0,1,1,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,23,0,0,0,0,0,4,0,2,0,2,2,0,0,0,18,1,0
C:\Users\OOPS\Downloads\datastructure_challenge-master\datastructure_challenge-master\src\com\array\rearrangement\Segregate_0sand1s_array.java,com.array.rearrangement.Segregate_0sand1s_array,class,2,3,1,2,10,1,0,3,3,0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,30,0,4,2,0,0,1,13,6,2,4,2,0,0,0,12,1,0
C:\Users\OOPS\Downloads\datastructure_challenge-master\datastructure_challenge-master\src\com\design_pattern\behavioral\observer\Observer.java,com.design_pattern.behavioral.observer.Observer,interface,1,5,4,1,2,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\OOPS\Downloads\datastructure_challenge-master\datastructure_challenge-master\src\com\array\rearrangement\ProductSubarray.java,com.array.rearrangement.ProductSubarray,class,2,3,1,2,3,1,0,3,1,0,0,0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,15,1,1,0,0,0,1,497,6,2,4,1,0,0,0,15,0,0
C:\Users\OOPS\Downloads\datastructure_challenge-master\datastructure_challenge-master\src\com\design_pattern\creational\builder\Computer.java,com.design_pattern.creational.builder.Computer,class,1,3,2,1,5,1,0,1,2,0.6,0,0,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,52,4,0,0,0,0,4,0,4,2,4,0,0,1,0,11,1,0
C:\Users\OOPS\Downloads\datastructure_challenge-master\datastructure_challenge-master\src\com\design_pattern\structural\adapter\Volt.java,com.design_pattern.structural.adapter.Volt,class,0,5,5,0,3,1,0,0,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,6,1,0
C:\Users\OOPS\Downloads\datastructure_challenge-master\datastructure_challenge-master\src\com\array\rearrangement\RearrangeMaximumminimumFormSet2.java,com.array.rearrangement.RearrangeMaximumminimumFormSet2,class,2,3,1,2,7,1,0,4,3,0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,36,0,3,1,0,2,4,17,10,11,7,2,0,0,0,17,1,0
