file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\OOPS\Downloads\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\src\main\java\MediaConvertor\mp4TOmp3.java,MediaConvertor.mp4TOmp3,class,5,6,1,5,2,2,0,7,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,5,3,6,2,6,1,0,0,0,30,1,0
C:\Users\OOPS\Downloads\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\src\main\java\MediaConvertor\WatcherAdapter.java,MediaConvertor.WatcherAdapter,class,2,3,1,2,9,1,0,4,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,36,0,0,0,3,0,0,0,1,0,1,1,0,0,0,15,1,0
C:\Users\OOPS\Downloads\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\src\main\java\MediaConvertor\EcoderFactory.java,MediaConvertor.EcoderFactory,class,4,5,1,4,4,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,3,0,0,0,0,1,0,0,0,14,1,0
C:\Users\OOPS\Downloads\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\src\main\java\MediaConvertor\MediaEncoder.java,MediaConvertor.MediaEncoder,class,0,5,5,0,1,1,3,0,0,0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,0
C:\Users\OOPS\Downloads\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\src\main\java\MediaConvertor\mp4toflv.java,MediaConvertor.mp4toflv,class,7,8,1,7,2,2,0,10,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,6,7,7,2,7,1,0,0,0,33,1,0
C:\Users\OOPS\Downloads\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\src\main\java\MediaConvertor\Watcher\Watcher.java,MediaConvertor.Watcher.Watcher,class,3,4,1,3,15,1,0,16,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,6,78,0,6,0,0,0,18,0,25,6,22,4,0,0,0,48,1,0
C:\Users\OOPS\Downloads\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\src\main\java\MediaConvertor\mp4tomkv.java,MediaConvertor.mp4tomkv,class,7,8,1,7,2,2,0,10,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,6,7,7,2,7,1,0,0,0,33,1,0
C:\Users\OOPS\Downloads\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\src\main\java\MediaConvertor\Main.java,MediaConvertor.Main,class,7,7,0,7,7,1,0,13,6,0,0,0,4,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,76,0,0,0,3,0,14,17,21,0,21,1,0,0,0,41,1,0
C:\Users\OOPS\Downloads\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\src\main\java\MediaConvertor\ThreadAllocator.java,MediaConvertor.ThreadAllocator,class,2,4,2,2,5,1,0,6,3,0.6666667,0,0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,40,1,0,1,1,0,0,0,8,0,8,1,0,0,3,21,1,0
C:\Users\OOPS\Downloads\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\Java-Media-Converter-mp4-to-mkv-mp3-and-flv-master\src\main\java\MediaConvertor\Watcher\WatcherInterface.java,MediaConvertor.Watcher.WatcherInterface,interface,0,2,2,0,3,1,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
