file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\OOPS\Downloads\Pizzademic-PH-master\Pizzademic-PH-master\src\controller\OrderServlet.java,controller.OrderServlet,class,6,7,1,6,3,2,0,8,1,1,0,0,2,0,0,0,2,0,2,0,0,0,1,1,0,1,0,0,1,0,4,25,0,0,0,1,0,9,1,10,0,10,1,0,0,0,34,1,0
C:\Users\OOPS\Downloads\Pizzademic-PH-master\Pizzademic-PH-master\src\controller\ProcessPaymentServlet.java,controller.ProcessPaymentServlet,class,7,8,1,7,4,2,0,23,1,1,0,0,2,0,0,0,2,0,2,0,0,0,1,1,0,1,0,0,1,0,4,40,0,0,0,1,0,17,1,7,0,7,2,0,0,0,33,1,0
C:\Users\OOPS\Downloads\Pizzademic-PH-master\Pizzademic-PH-master\src\model\pizza\FourCheese.java,model.pizza.FourCheese,class,7,9,2,7,13,2,0,10,26,0.7777778,0.1388889,0.30555555,9,0,9,0,0,0,9,0,0,0,5,0,0,5,0,0,0,0,1,58,7,1,1,2,0,5,1,10,0,9,3,0,0,0,49,1,0
C:\Users\OOPS\Downloads\Pizzademic-PH-master\Pizzademic-PH-master\src\model\iterator\bean\PizzaBean.java,model.iterator.bean.PizzaBean,class,0,1,1,0,4,1,0,0,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,20,3,0,0,0,0,0,0,3,0,3,0,0,0,0,7,1,0
C:\Users\OOPS\Downloads\Pizzademic-PH-master\Pizzademic-PH-master\src\model\upgrade\Upgrade.java,model.upgrade.Upgrade,class,1,13,12,1,4,1,3,0,6,0,0,0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1025,0
C:\Users\OOPS\Downloads\Pizzademic-PH-master\Pizzademic-PH-master\src\model\iterator\pizzas\PizzademicPHPizzas.java,model.iterator.pizzas.PizzademicPHPizzas,class,5,6,1,5,7,1,0,10,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,36,1,1,1,2,0,3,0,9,0,8,3,0,0,0,42,1,0
C:\Users\OOPS\Downloads\Pizzademic-PH-master\Pizzademic-PH-master\src\utility\Wrapper.java,utility.Wrapper,class,1,5,4,1,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
C:\Users\OOPS\Downloads\Pizzademic-PH-master\Pizzademic-PH-master\src\model\builder\PizzaBuilder.java,model.builder.PizzaBuilder,class,18,21,3,18,53,1,0,50,543,0.8854701,0.13360325,0.6356275,39,0,39,0,0,0,39,0,0,0,15,0,0,15,0,0,0,0,9,333,19,2,3,6,1,47,41,82,18,64,3,1,0,0,176,1,0
C:\Users\OOPS\Downloads\Pizzademic-PH-master\Pizzademic-PH-master\src\utility\DBOps.java,utility.DBOps,interface,0,8,8,0,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,10,0,0,0,0,0,37,0,8,5,8,0,0,0,0,66,1,0
C:\Users\OOPS\Downloads\Pizzademic-PH-master\Pizzademic-PH-master\src\utility\UpgradePizzaFactory.java,utility.UpgradePizzaFactory,class,6,7,1,6,4,1,0,4,1,0.5,0,0,2,0,2,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,20,3,0,0,1,0,4,0,1,1,1,1,0,0,0,19,1,0
