file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\factory\Dell.java,factory.Dell,class,2,4,2,2,4,1,0,3,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,17,4,0,0,0,0,6,1,3,1,3,0,0,0,0,7,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\NokiaFactory.java,abstractFactory.NokiaFactory,class,4,5,1,4,3,2,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,2,0,0,0,0,1,0,0,0,11,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\Main.java,abstractFactory.Main,class,3,3,0,3,1,1,0,4,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,10,0,9,0,9,0,0,0,0,17,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\IphoneX.java,abstractFactory.IphoneX,class,2,4,2,2,4,1,0,3,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,17,4,0,0,0,0,6,1,3,1,3,0,0,0,0,7,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\IphoneFactory.java,abstractFactory.IphoneFactory,class,4,5,1,4,3,2,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,2,0,0,0,0,1,0,0,0,11,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\factory\Hp.java,factory.Hp,class,2,4,2,2,4,1,0,3,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,17,4,0,0,0,0,6,1,3,1,3,0,0,0,0,7,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\AbstractFactory.java,abstractFactory.AbstractFactory,class,1,6,5,1,1,1,3,0,0,0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1025,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\NokiaN95.java,abstractFactory.NokiaN95,class,2,4,2,2,4,1,0,3,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,17,4,0,0,0,0,6,1,3,1,3,0,0,0,0,7,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\factory\MacBook.java,factory.MacBook,class,2,4,2,2,4,1,0,3,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,17,4,0,0,0,0,6,1,3,1,3,0,0,0,0,8,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\SamsungFactory.java,abstractFactory.SamsungFactory,class,4,5,1,4,3,2,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,2,0,0,0,0,1,0,0,0,17,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\NokiaN70.java,abstractFactory.NokiaN70,class,2,4,2,2,4,1,0,3,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,17,4,0,0,0,0,6,1,3,1,3,0,0,0,0,7,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\factory\Computer.java,factory.Computer,interface,0,5,5,0,4,1,0,0,6,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\factory\Main.java,factory.Main,class,2,2,0,2,1,1,0,3,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,4,0,4,0,0,0,0,12,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\factory\Factory.java,factory.Factory,class,4,5,1,4,4,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,3,0,0,0,0,1,0,0,0,24,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\Iphone12.java,abstractFactory.Iphone12,class,2,4,2,2,4,1,0,3,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,17,4,0,0,0,0,6,1,3,1,3,0,0,0,0,6,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\SamsungS10.java,abstractFactory.SamsungS10,class,2,4,2,2,4,1,0,3,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,17,4,0,0,0,0,6,1,3,1,3,0,0,0,0,7,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\SamsungS20.java,abstractFactory.SamsungS20,class,2,4,2,2,4,1,0,3,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,17,4,0,0,0,0,6,1,3,1,3,0,0,0,0,7,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\Smartphone.java,abstractFactory.Smartphone,interface,0,11,11,0,4,1,0,0,6,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\OOPS\Downloads\Software-design-patterns-master\Software-design-patterns-master\src\abstractFactory\FactoryGenerator.java,abstractFactory.FactoryGenerator,class,4,5,1,4,4,1,0,1,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,3,0,0,0,0,1,0,0,0,17,1,0
