file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\model\User.java,com.bittercode.model.User,class,1,6,5,1,14,1,0,0,77,0.85714287,0.07692308,0.07692308,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,0,51,7,0,0,0,0,0,0,7,0,7,0,0,0,0,21,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\service\UserService.java,com.bittercode.service.UserService,interface,3,8,5,3,4,1,0,0,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\SellerLoginServlet.java,servlets.SellerLoginServlet,class,7,7,0,7,3,2,0,10,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,25,0,0,1,1,0,11,0,7,2,7,2,0,0,0,39,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\UpdateBookServlet.java,servlets.UpdateBookServlet,class,9,10,1,9,7,2,0,22,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5,48,2,0,2,1,0,29,0,14,2,14,3,0,0,0,60,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\CheckoutServlet.java,servlets.CheckoutServlet,class,5,5,0,5,3,2,0,11,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,23,1,0,0,1,0,13,0,3,3,3,1,0,0,0,31,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,class,8,9,1,8,7,2,0,16,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,42,2,0,1,1,0,25,0,7,1,7,2,0,0,0,58,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\service\BookService.java,com.bittercode.service.BookService,interface,1,11,10,1,7,1,0,0,21,0,0,0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\service\impl\BookServiceImpl.java,com.bittercode.service.impl.BookServiceImpl,class,3,12,9,3,19,1,0,19,21,0.85714287,0,0,7,0,7,0,0,0,7,0,0,0,6,6,0,6,0,0,6,0,7,142,7,3,2,7,0,29,31,59,11,50,2,0,0,0,55,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\model\Address.java,com.bittercode.model.Address,class,0,0,0,0,14,1,0,0,77,0.85714287,0.07692308,0.07692308,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,0,51,7,0,0,0,0,0,0,7,0,7,0,0,0,0,18,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\ViewBookServlet.java,servlets.ViewBookServlet,class,10,11,1,10,9,2,0,19,1,0.5,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,3,46,2,1,2,1,2,62,4,13,12,10,2,0,0,0,69,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\util\DBUtil.java,com.bittercode.util.DBUtil,class,1,3,2,1,4,1,0,3,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,2,18,1,0,1,1,0,0,0,1,0,1,1,0,0,0,16,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\constant\BookStoreConstants.java,com.bittercode.constant.BookStoreConstants,interface,0,0,0,0,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,15,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\model\StoreException.java,com.bittercode.model.StoreException,class,2,5,3,2,10,4,0,5,0,0.46666667,0.64444447,1,10,0,10,0,0,0,10,0,0,0,3,0,0,3,0,0,0,0,0,47,3,0,0,0,0,1,2,13,0,3,0,0,0,0,15,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\model\Book.java,com.bittercode.model.Book,class,1,13,12,1,12,1,0,1,36,0.75,0.22727273,0.8333333,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,47,5,0,0,0,0,0,0,9,0,5,0,0,0,0,14,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\StoreBookServlet.java,servlets.StoreBookServlet,class,9,10,1,9,7,2,0,17,1,0.5,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,35,2,1,2,1,0,41,1,5,5,5,2,0,0,0,56,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\model\UserRole.java,com.bittercode.model.UserRole,enum,0,4,4,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\constant\db\BooksDBConstants.java,com.bittercode.constant.db.BooksDBConstants,interface,0,0,0,0,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,8,0,0,0,0,0,6,0,6,0,6,0,0,0,0,21,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\model\Cart.java,com.bittercode.model.Cart,class,1,3,2,1,5,1,0,0,0,0.4,0.6,1,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,20,2,0,0,0,0,0,0,4,0,2,0,0,0,0,8,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\util\DatabaseConfig.java,com.bittercode.util.DatabaseConfig,class,0,0,0,0,2,1,0,6,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,8,8,7,0,0,1,7,0,1,20,0,0,0,1,0,9,0,10,1,10,1,0,0,0,31,0,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\service\impl\UserServiceImpl.java,com.bittercode.service.impl.UserServiceImpl,class,5,9,4,5,13,1,0,31,6,0.75,0,0,4,0,4,0,0,0,4,0,0,0,2,2,0,2,0,0,2,0,2,67,4,0,3,2,0,15,14,17,3,12,2,0,0,0,55,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\AddBookServlet.java,servlets.AddBookServlet,class,9,10,1,9,7,2,0,17,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6,45,2,0,1,1,0,26,0,13,1,13,2,0,0,0,69,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\ProcessPaymentServlet.java,servlets.ProcessPaymentServlet,class,11,12,1,11,6,2,0,20,1,0.5,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,48,2,1,1,1,0,47,0,16,6,14,2,0,0,0,68,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\CustomerLoginServlet.java,servlets.CustomerLoginServlet,class,7,7,0,7,3,2,0,10,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,25,0,0,1,1,0,11,0,7,2,7,2,0,0,0,40,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\constant\ResponseCode.java,com.bittercode.constant.ResponseCode,enum,1,4,3,1,5,1,0,5,2,0.5,0.33333334,0.5,4,1,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,2,16,3,0,1,0,0,8,8,2,0,3,0,0,0,1,58,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\com\bittercode\util\StoreUtil.java,com.bittercode.util.StoreUtil,class,3,15,12,3,12,1,0,10,3,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,7,0,0,22,5,13,12,5,4,0,0,0,48,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\LogoutServlet.java,servlets.LogoutServlet,class,6,6,0,6,3,2,0,8,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,18,0,0,0,1,0,2,0,4,0,4,2,0,0,0,26,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\ErrorHandlerServlet.java,servlets.ErrorHandlerServlet,class,8,9,1,8,9,2,0,20,1,0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,55,0,0,3,0,0,30,1,18,8,12,2,0,0,0,46,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\ReceiptServlet.java,servlets.ReceiptServlet,class,8,8,0,8,7,2,0,21,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5,60,1,1,0,2,0,34,3,20,14,17,4,0,0,0,57,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\BuyBooksServlet.java,servlets.BuyBooksServlet,class,8,8,0,8,4,2,0,16,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,44,1,1,0,1,0,40,2,14,13,13,2,0,0,0,59,1,0
C:\Users\OOPS\Downloads\onlinebookstore-master\onlinebookstore-master\src\main\java\servlets\CartServlet.java,servlets.CartServlet,class,11,12,1,11,10,2,0,22,1,0.5,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,3,53,2,1,3,1,2,54,4,14,12,12,2,0,0,0,71,1,0
