file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\HoldRequest.java,LMS.HoldRequest,class,3,7,4,3,5,1,0,3,0,0.4,0.7,1,5,0,5,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,22,3,0,0,0,0,3,0,3,1,3,0,0,0,0,13,1,0
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\Staff.java,LMS.Staff,class,1,7,6,1,3,2,2,2,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,14,1,0,0,0,0,2,0,1,1,1,0,0,0,0,8,1,0
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\Book.java,LMS.Book,class,8,14,6,8,39,1,0,35,44,0.7563025,0.2647059,0.6691176,17,1,17,0,0,0,17,0,0,0,7,1,0,6,0,1,0,0,2,175,9,5,5,0,1,41,10,38,10,27,5,0,0,0,99,1,0
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\HoldRequestOperations.java,LMS.HoldRequestOperations,class,1,3,2,1,4,1,0,3,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,14,0,0,0,0,0,0,1,1,0,1,1,0,0,0,8,1,0
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\Borrower.java,LMS.Borrower,class,5,11,6,5,21,2,0,29,51,0.64285713,0.36363637,0.6545454,14,0,11,3,0,0,11,0,0,0,2,0,0,2,0,0,0,0,0,96,2,2,0,0,0,32,2,9,5,7,2,0,0,0,50,1,0
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\Person.java,LMS.Person,class,0,6,6,0,12,1,2,2,15,0.71212125,0.36363637,1,11,1,11,0,0,0,11,0,0,0,6,1,0,0,5,1,0,0,1,54,5,0,1,0,0,7,2,11,4,6,1,0,0,0,26,1025,0
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\Clerk.java,LMS.Clerk,class,1,3,2,1,3,3,0,2,0,0.25,1,1,2,0,2,0,0,0,2,0,0,0,2,1,1,0,0,1,0,0,0,18,0,0,1,0,0,1,2,3,1,2,1,0,0,0,9,1,0
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\Loan.java,LMS.Loan,class,5,10,5,5,21,1,0,9,43,0.78571427,0.26373628,1,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,2,81,8,0,0,0,0,10,5,25,5,14,2,0,0,0,53,1,0
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\Librarian.java,LMS.Librarian,class,2,4,2,2,5,3,0,3,1,0.5,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,2,1,1,0,0,1,0,0,0,23,2,0,2,0,0,2,2,4,1,2,1,0,0,0,23,1,0
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\Library.java,LMS.Library,class,10,14,4,10,159,1,0,89,234,0.875,0.12820514,0.3931624,28,1,27,1,0,0,27,0,0,0,10,3,5,5,0,0,0,0,7,706,19,38,34,9,14,194,94,235,17,152,7,0,0,0,214,1,0
C:\Users\OOPS\Downloads\Library-Management-System-JAVA-master\Library-Management-System-JAVA-master\Project\src\LMS\Main.java,LMS.Main,class,8,9,1,8,66,1,0,49,6,0,0,0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,279,2,7,39,1,2,95,48,51,4,38,9,0,0,0,94,1,0
