file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\images\builder\traits\FilesTrait.java,org.testcontainers.images.builder.traits.FilesTrait,"withFileFromFile/3[java.lang.String,java.io.File,java.lang.Integer]",FALSE,40,2,1,0,1,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,65536,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\images\builder\traits\FilesTrait.java,org.testcontainers.images.builder.traits.FilesTrait,"withFileFromFile/2[java.lang.String,java.io.File]",FALSE,19,2,1,0,1,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,65536,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\images\builder\traits\FilesTrait.java,org.testcontainers.images.builder.traits.FilesTrait,"withFileFromPath/2[java.lang.String,java.nio.file.Path]",FALSE,29,2,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,65536,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\images\builder\traits\FilesTrait.java,org.testcontainers.images.builder.traits.FilesTrait,"withFileFromPath/3[java.lang.String,java.nio.file.Path,java.lang.Integer]",FALSE,51,3,2,0,2,1,2,4,1,1,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,27,65536,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mysql\src\main\java\org\testcontainers\containers\MySQLContainerProvider.java,org.testcontainers.containers.MySQLContainerProvider,newInstance/1[java.lang.String],FALSE,26,3,3,1,2,2,3,8,2,0,1,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,11,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mysql\src\main\java\org\testcontainers\containers\MySQLContainerProvider.java,org.testcontainers.containers.MySQLContainerProvider,newInstance/0,FALSE,21,2,2,1,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mysql\src\main\java\org\testcontainers\containers\MySQLContainerProvider.java,org.testcontainers.containers.MySQLContainerProvider,newInstance/1[org.testcontainers.containers.ConnectionUrl],FALSE,35,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mysql\src\main\java\org\testcontainers\containers\MySQLContainerProvider.java,org.testcontainers.containers.MySQLContainerProvider,supports/1[java.lang.String],FALSE,16,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\hivemq\src\test\java\org\testcontainers\hivemq\ContainerWithExtensionFromDirectoryIT.java,org.testcontainers.hivemq.ContainerWithExtensionFromDirectoryIT,test_wrongDirectoryName/0,FALSE,33,8,11,0,11,1,10,6,0,1,0,10,0,0,0,0,1,0,4,1,1,0,1,0,0,0,13,0,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\hivemq\src\test\java\org\testcontainers\hivemq\ContainerWithExtensionFromDirectoryIT.java,org.testcontainers.hivemq.ContainerWithExtensionFromDirectoryIT,test/0,FALSE,16,8,12,0,12,1,11,6,0,1,0,11,0,0,0,0,1,0,5,1,1,0,1,0,0,0,9,0,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mssqlserver\src\main\java\org\testcontainers\containers\MSSQLR2DBCDatabaseContainer.java,org.testcontainers.containers.MSSQLR2DBCDatabaseContainer,getOptions/1[org.testcontainers.containers.MSSQLServerContainer<?>],FALSE,15,3,3,1,2,1,4,4,1,1,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,16,9,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mssqlserver\src\main\java\org\testcontainers\containers\MSSQLR2DBCDatabaseContainer.java,org.testcontainers.containers.MSSQLR2DBCDatabaseContainer,configure/1[org.testcontainers.containers.ConnectionFactoryOptions],FALSE,25,2,3,1,2,1,7,3,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\wait\strategy\HttpWaitStrategyTest.java,org.testcontainers.junit.wait.strategy.HttpWaitStrategyTest$Anonymous1,waitUntilReady/0,FALSE,234,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mssqlserver\src\test\java\org\testcontainers\containers\MSSQLR2DBCDatabaseContainerTest.java,org.testcontainers.containers.MSSQLR2DBCDatabaseContainerTest,createR2DBCUrl/0,FALSE,15,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mssqlserver\src\test\java\org\testcontainers\containers\MSSQLR2DBCDatabaseContainerTest.java,org.testcontainers.containers.MSSQLR2DBCDatabaseContainerTest,getOptions/1[org.testcontainers.containers.MSSQLServerContainer<?>],FALSE,10,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mssqlserver\src\test\java\org\testcontainers\containers\MSSQLR2DBCDatabaseContainerTest.java,org.testcontainers.containers.MSSQLR2DBCDatabaseContainerTest,createContainer/0,FALSE,20,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mysql\src\test\java\org\testcontainers\containers\MySQLR2DBCDatabaseContainerTest.java,org.testcontainers.containers.MySQLR2DBCDatabaseContainerTest,createR2DBCUrl/0,FALSE,15,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,4,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mysql\src\test\java\org\testcontainers\containers\MySQLR2DBCDatabaseContainerTest.java,org.testcontainers.containers.MySQLR2DBCDatabaseContainerTest,getOptions/1[org.testcontainers.containers.MySQLContainer<?>],FALSE,10,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\mysql\src\test\java\org\testcontainers\containers\MySQLR2DBCDatabaseContainerTest.java,org.testcontainers.containers.MySQLR2DBCDatabaseContainerTest,createContainer/0,FALSE,20,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\images\LocalImagesCache.java,org.testcontainers.images.LocalImagesCache,refreshCache/1[org.testcontainers.utility.DockerImageName],FALSE,35,6,7,2,5,4,14,22,3,3,1,14,1,2,0,1,1,0,1,0,4,0,2,0,0,0,20,1,1,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\images\LocalImagesCache.java,org.testcontainers.images.LocalImagesCache,get/1[org.testcontainers.utility.DockerImageName],FALSE,30,4,4,1,3,1,4,4,1,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\images\LocalImagesCache.java,org.testcontainers.images.LocalImagesCache,populateFromList/1[java.util.List<org.testcontainers.images.Image>],FALSE,73,2,2,1,1,3,8,10,0,2,1,8,0,0,1,1,0,0,1,0,1,0,2,0,0,1,11,2,1,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\images\LocalImagesCache.java,org.testcontainers.images.LocalImagesCache,maybeInitCache/1[org.testcontainers.images.DockerClient],FALSE,59,2,3,2,1,3,6,10,3,0,1,6,1,1,0,0,0,0,1,0,0,0,1,0,0,0,11,34,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\Testcontainers.java,org.testcontainers.Testcontainers,exposeHostPorts/1[int[]],FALSE,12,2,6,5,1,2,1,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\Testcontainers.java,org.testcontainers.Testcontainers,"exposeHostPorts/1[java.util.Map<java.lang.Integer,java.lang.Integer>]",FALSE,18,1,1,0,1,2,4,5,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\wait\strategy\HttpWaitStrategyTest.java,org.testcontainers.junit.wait.strategy.HttpWaitStrategyTest,testWaitUntilReadyWithSuccessWithCustomHeaders/0,FALSE,45,6,7,0,7,1,10,10,0,3,0,10,2,2,0,0,1,0,7,0,3,0,1,0,0,0,56,1,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\wait\strategy\HttpWaitStrategyTest.java,org.testcontainers.junit.wait.strategy.HttpWaitStrategyTest,testWaitUntilReadyWithSpecificPort/0,FALSE,189,5,5,0,5,1,5,5,0,1,0,5,2,1,0,0,1,0,1,5,1,0,1,0,0,0,22,1,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\wait\strategy\HttpWaitStrategyTest.java,org.testcontainers.junit.wait.strategy.HttpWaitStrategyTest,testWaitUntilReadyWithManyStatusCodesAndLambda/0,FALSE,117,5,6,0,6,2,6,5,0,2,0,6,2,2,0,1,1,0,1,3,1,0,1,0,0,1,46,1,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\wait\strategy\HttpWaitStrategyTest.java,org.testcontainers.junit.wait.strategy.HttpWaitStrategyTest,buildWaitStrategy/1[java.util.concurrent.atomic.AtomicBoolean],FALSE,221,3,2,0,2,1,3,3,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,28,4,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\wait\strategy\HttpWaitStrategyTest.java,org.testcontainers.junit.wait.strategy.HttpWaitStrategyTest,testWaitUntilReadyWithTlsAndAllowUnsecure/0,FALSE,68,5,6,0,6,1,6,5,0,1,0,6,2,1,0,0,1,0,1,1,1,0,1,0,0,0,42,1,0,TRUE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\wait\strategy\HttpWaitStrategyTest.java,org.testcontainers.junit.wait.strategy.HttpWaitStrategyTest,testWaitUntilReadyWithTimeoutAndBadResponseBody/0,FALSE,181,3,2,0,2,1,2,3,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,31,1,0,TRUE
